y	x	row_in_group	na_group
4	4	4	3
3.33333333333333	5	5	3
3	6	6	3
2.8	7	7	3
3.2	8	8	3
3.6	9	9	3
4	10	10	3
3.66666666666667	11	11	3
3.42857142857143	12	12	3
3.25	13	13	3
3.11111111111111	14	14	3
3	15	15	3
2.90909090909091	16	16	3
3.09090909090909	17	17	3
3.27272727272727	18	18	3
3.45454545454545	19	19	3
3.33333333333333	20	20	3
3.5	21	21	3
3.66666666666667	22	22	3
3.53846153846154	23	23	3
3.69230769230769	24	24	3
3.57142857142857	25	25	3
3.71428571428571	26	26	3
3.6	27	27	3
3.5	28	28	3
3.625	29	29	3
3.75	30	30	3
3.64705882352941	31	31	3
3.55555555555556	32	32	3
3.66666666666667	33	33	3
3.57894736842105	34	34	3
3.68421052631579	35	35	3
3.6	36	36	3
3.52380952380952	37	37	3
3.61904761904762	38	38	3
3.54545454545455	39	39	3
3.47826086956522	40	40	3
3.41666666666667	41	41	3
3.36	42	42	3
3.30769230769231	43	43	3
3.25925925925926	44	44	3
3.21428571428571	45	45	3
3.17241379310345	46	46	3
3.13333333333333	47	47	3
3.09677419354839	48	48	3
3.16129032258065	49	49	3
3.2258064516129	50	50	3
3.29032258064516	51	51	3
3.25	52	52	3
3.3125	53	53	3
3.375	54	54	3
3.33333333333333	55	55	3
3.39393939393939	56	56	3
3.35294117647059	57	57	3
3.31428571428571	58	58	3
3.37142857142857	59	59	3
3.33333333333333	60	60	3
3.2972972972973	61	61	3
3.26315789473684	62	62	3
3.23076923076923	63	63	3
3.2	64	64	3
3.17073170731707	65	65	3
3.21951219512195	66	66	3
3.26829268292683	67	67	3
3.23809523809524	68	68	3
3.2093023255814	69	69	3
3.18181818181818	70	70	3
3.22727272727273	71	71	3
3.27272727272727	72	72	3
3.31818181818182	73	73	3
3.36363636363636	74	74	3
3.40909090909091	75	75	3
3.37777777777778	76	76	3
3.42222222222222	77	77	3
3.39130434782609	78	78	3
3.36170212765957	79	79	3
3.33333333333333	80	80	3
3.375	81	81	3
3.3469387755102	82	82	3
3.32	83	83	3
3.29411764705882	84	84	3
3.33333333333333	85	85	3
3.30769230769231	86	86	3
3.28301886792453	87	87	3
3.25925925925926	88	88	3
3.23636363636364	89	89	3
3.21428571428571	90	90	3
3.19298245614035	91	91	3
3.17241379310345	92	92	3
3.15254237288136	93	93	3
3.13333333333333	94	94	3
3.11475409836066	95	95	3
3.09677419354839	96	96	3
3.12903225806452	97	97	3
3.11111111111111	98	98	3
3.09375	99	99	3
3.07692307692308	100	100	3
3.06060606060606	101	101	3
3.04477611940299	102	102	3
3.07462686567164	103	103	3
3.1044776119403	104	104	3
3.13432835820896	105	105	3
3.16417910447761	106	106	3
3.14705882352941	107	107	3
3.17647058823529	108	108	3
3.20588235294118	109	109	3
3.18840579710145	110	110	3
3.21739130434783	111	111	3
3.2	112	112	3
3.22857142857143	113	113	3
3.2112676056338	114	114	3
3.19444444444444	115	115	3
3.17808219178082	116	116	3
3.20547945205479	117	117	3
3.18918918918919	118	118	3
3.17333333333333	119	119	3
3.2	120	120	3
3.18421052631579	121	121	3
3.16883116883117	122	122	3
3.1948051948052	123	123	3
3.17948717948718	124	124	3
3.20512820512821	125	125	3
3.18987341772152	126	126	3
3.175	127	127	3
3.2	128	128	3
3.225	129	129	3
3.20987654320988	130	130	3
3.23456790123457	131	131	3
3.21951219512195	132	132	3
3.24390243902439	133	133	3
3.2289156626506	134	134	3
3.21428571428571	135	135	3
3.2	136	136	3
3.22352941176471	137	137	3
3.2093023255814	138	138	3
3.23255813953488	139	139	3
3.25581395348837	140	140	3
3.27906976744186	141	141	3
3.26436781609195	142	142	3
3.25	143	143	3
3.27272727272727	144	144	3
3.25842696629214	145	145	3
3.24444444444444	146	146	3
3.23076923076923	147	147	3
3.25274725274725	148	148	3
3.23913043478261	149	149	3
3.2258064516129	150	150	3
3.21276595744681	151	151	3
3.23404255319149	152	152	3
3.25531914893617	153	153	3
3.24210526315789	154	154	3
3.26315789473684	155	155	3
3.25	156	156	3
3.23711340206186	157	157	3
3.22448979591837	158	158	3
3.21212121212121	159	159	3
3.23232323232323	160	160	3
3.22	161	161	3
3.24	162	162	3
3.26	163	163	3
3.28	164	164	3
3.3	165	165	3
3.32	166	166	3
3.30693069306931	167	167	3
3.29411764705882	168	168	3
3.28155339805825	169	169	3
3.30097087378641	170	170	3
3.32038834951456	171	171	3
3.30769230769231	172	172	3
3.2952380952381	173	173	3
3.28301886792453	174	174	3
3.27102803738318	175	175	3
3.25925925925926	176	176	3
3.24770642201835	177	177	3
3.26605504587156	178	178	3
3.25454545454545	179	179	3
3.27272727272727	180	180	3
3.26126126126126	181	181	3
3.25	182	182	3
3.23893805309735	183	183	3
3.2280701754386	184	184	3
3.24561403508772	185	185	3
3.26315789473684	186	186	3
3.25217391304348	187	187	3
3.2695652173913	188	188	3
3.25862068965517	189	189	3
3.24786324786325	190	190	3
3.23728813559322	191	191	3
3.22689075630252	192	192	3
3.2436974789916	193	193	3
3.23333333333333	194	194	3
3.25	195	195	3
3.26666666666667	196	196	3
3.25619834710744	197	197	3
3.27272727272727	198	198	3
3.28925619834711	199	199	3
3.27868852459016	200	200	3
3.26829268292683	201	201	3
3.28455284552846	202	202	3
3.2741935483871	203	203	3
3.264	204	204	3
3.25396825396825	205	205	3
3.26984126984127	206	206	3
3.25984251968504	207	207	3
3.25	208	208	3
3.24031007751938	209	209	3
3.23076923076923	210	210	3
3.24615384615385	211	211	3
3.23664122137405	212	212	3
3.25190839694656	213	213	3
3.26717557251908	214	214	3
3.25757575757576	215	215	3
3.24812030075188	216	216	3
3.26315789473684	217	217	3
3.25373134328358	218	218	3
3.26865671641791	219	219	3
3.25925925925926	220	220	3
3.27407407407407	221	221	3
3.28888888888889	222	222	3
3.3037037037037	223	223	3
3.31851851851852	224	224	3
3.33333333333333	225	225	3
3.34814814814815	226	226	3
3.36296296296296	227	227	3
3.37777777777778	228	228	3
3.39259259259259	229	229	3
3.40740740740741	230	230	3
3.39705882352941	231	231	3
3.38686131386861	232	232	3
3.3768115942029	233	233	3
3.36690647482014	234	234	3
3.35714285714286	235	235	3
3.37142857142857	236	236	3
3.36170212765957	237	237	3
3.3758865248227	238	238	3
3.36619718309859	239	239	3
3.35664335664336	240	240	3
3.34722222222222	241	241	3
3.33793103448276	242	242	3
3.35172413793103	243	243	3
3.34246575342466	244	244	3
3.35616438356164	245	245	3
3.3469387755102	246	246	3
3.33783783783784	247	247	3
3.32885906040268	248	248	3
3.32	249	249	3
3.3112582781457	250	250	3
3.30263157894737	251	251	3
3.31578947368421	252	252	3
3.32894736842105	253	253	3
3.34210526315789	254	254	3
3.33333333333333	255	255	3
3.32467532467533	256	256	3
3.33766233766234	257	257	3
3.32903225806452	258	258	3
3.32051282051282	259	259	3
3.33333333333333	260	260	3
3.32484076433121	261	261	3
3.31645569620253	262	262	3
3.30817610062893	263	263	3
3.3	264	264	3
3.29192546583851	265	265	3
3.28395061728395	266	266	3
3.2962962962963	267	267	3
3.30864197530864	268	268	3
3.32098765432099	269	269	3
3.31288343558282	270	270	3
3.32515337423313	271	271	3
3.31707317073171	272	272	3
3.32926829268293	273	273	3
3.34146341463415	274	274	3
3.35365853658537	275	275	3
3.36585365853659	276	276	3
3.37804878048781	277	277	3
3.39024390243902	278	278	3
3.38181818181818	279	279	3
3.37349397590361	280	280	3
3.3855421686747	281	281	3
3.37724550898204	282	282	3
3.38922155688623	283	283	3
3.38095238095238	284	284	3
3.37278106508876	285	285	3
3.36470588235294	286	286	3
3.37647058823529	287	287	3
3.36842105263158	288	288	3
3.36046511627907	289	289	3
3.37209302325581	290	290	3
3.36416184971098	291	291	3
3.3757225433526	292	292	3
3.36781609195402	293	293	3
3.36	294	294	3
3.37142857142857	295	295	3
3.36363636363636	296	296	3
3.375	297	297	3
3.36723163841808	298	298	3
3.35955056179775	299	299	3
3.35195530726257	300	300	3
3.34444444444444	301	301	3
3.35555555555556	302	302	3
3.34806629834254	303	303	3
3.35911602209945	304	304	3
3.35164835164835	305	305	3
3.34426229508197	306	306	3
3.3551912568306	307	307	3
3.36612021857924	308	308	3
3.37704918032787	309	309	3
3.3695652173913	310	310	3
3.36216216216216	311	311	3
3.37297297297297	312	312	3
3.36559139784946	313	313	3
3.37634408602151	314	314	3
3.36898395721925	315	315	3
3.36170212765957	316	316	3
3.35449735449735	317	317	3
3.34736842105263	318	318	3
3.35789473684211	319	319	3
3.36842105263158	320	320	3
3.36125654450262	321	321	3
3.35416666666667	322	322	3
3.36458333333333	323	323	3
3.35751295336788	324	324	3
3.36787564766839	325	325	3
3.36082474226804	326	326	3
3.35384615384615	327	327	3
3.3469387755102	328	328	3
3.34010152284264	329	329	3
3.3502538071066	330	330	3
3.36040609137056	331	331	3
3.37055837563452	332	332	3
3.36363636363636	333	333	3
3.37373737373737	334	334	3
3.36683417085427	335	335	3
3.36	336	336	3
3.35323383084577	337	337	3
3.36318407960199	338	338	3
3.37313432835821	339	339	3
3.36633663366337	340	340	3
3.35960591133005	341	341	3
3.35294117647059	342	342	3
3.34634146341463	343	343	3
3.35609756097561	344	344	3
3.3495145631068	345	345	3
3.35922330097087	346	346	3
3.36893203883495	347	347	3
3.36231884057971	348	348	3
3.35576923076923	349	349	3
3.34928229665072	350	350	3
